"coor";"lat";"lon"
"X138600";"31.8414";"34.78450"
"X138650";"31.8276";"34.72330"
"X138670";"31.8314";"34.75710"
"X138698";"31.8515";"34.84350"
"X138700";"31.8515";"34.84350"
"X138760";"31.8250";"34.74440"
"X138780";"31.8155";"34.74030"
"X138800";"31.8152";"34.77620"
"X138850";"31.8198";"34.79620"
"X138851";"31.8198";"34.79620"
"X138870";"31.8025";"34.75090"
"X138900";"31.7982";"34.82170"
"X138920";"31.7899";"34.71200"
"X138946";"31.7910";"34.80500"
"X138947";"31.7756";"34.80380"
"X138948";"31.7914";"34.79900"
"X138949";"31.7891";"34.79950"
"X138950";"31.7891";"34.79950"
"X139000";"31.7902";"34.80840"
"X140010";"31.8382";"34.65560"
"X140020";"31.8386";"34.65270"
"X140025";"31.8342";"34.63770"
"X140040";"31.8275";"34.65270"
"X140050";"31.8265";"34.68310"
"X140100";"31.8194";"34.69470"
"X140101";"31.8191";"34.69450"
"X140150";"31.8072";"34.66730"
"X140198";"31.8166";"34.72440"
"X140199";"31.8160";"34.71660"
"X140200";"31.8161";"34.72200"
"X140201";"31.8166";"34.72440"
"X140220";"31.7908";"34.75940"
"X140249";"31.7704";"34.71720"
"X140250";"31.7704";"34.71720"
"X140251";"31.7708";"34.72040"
"X140300";"31.7720";"34.81600"
"X140400";"31.7681";"34.77930"
"X140450";"31.7552";"34.66040"
"X140470";"31.7566";"34.76690"
"X140500";"31.7575";"34.78490"
"X140550";"31.7575";"34.78490"
"X140600";"31.7442";"34.67380"
"X140620";"31.7467";"34.79230"
"X140650";"31.7442";"34.85670"
"X140670";"31.7488";"34.88840"
"X140700";"31.7398";"34.62980"
"X140702";"31.7375";"34.62870"
"X140720";"31.7420";"34.78670"
"X140800";"31.7325";"34.72540"
"X140801";"31.7402";"34.72640"
"X140818";"31.7467";"34.73880"
"X140819";"31.7445";"34.73750"
"X140820";"31.7402";"34.73750"
"X140850";"31.7315";"34.83550"
"X140851";"31.7315";"34.83570"
"X140852";"31.7341";"34.83590"
"X140855";"31.7319";"34.63480"
"X140900";"31.7193";"34.63520"
"X140950";"31.7229";"34.72830"
"X141000";"31.7137";"34.64900"
"X141050";"31.7105";"34.74400"
"X141100";"31.7159";"34.75870"
"X141101";"31.7159";"34.75870"
"X141102";"31.7164";"34.76260"
"X141150";"31.7017";"34.68780"
"X141200";"31.7036";"34.84630"
"X141250";"31.7007";"34.77460"
"X141255";"31.7014";"34.77740"
"X141300";"31.6936";"34.59850"
"X141350";"31.6970";"34.71980"
"X141397";"31.6992";"34.72820"
"X141398";"31.6961";"34.73030"
"X141399";"31.6920";"34.73560"
"X141400";"31.6924";"34.73560"
"X141450";"31.6986";"34.70920"
"X141520";"31.6734";"34.55670"
"X141549";"31.6712";"34.61230"
"X141550";"31.6718";"34.61280"
"X141590";"31.6627";"34.54700"
"X141600";"31.6664";"34.55440"
"X141620";"31.6638";"34.57040"
"X141625";"31.6668";"34.59680"
"X141650";"31.6683";"34.58700"
"X141651";"31.6683";"34.58700"
"X141700";"31.6684";"34.60290"
"X141746";"31.6585";"34.67980"
"X141747";"31.6585";"34.67980"
"X141748";"31.6596";"34.67960"
"X141749";"31.6616";"34.68410"
"X141750";"31.6625";"34.68410"
"X141800";"31.6626";"34.72800"
"X141850";"31.6726";"34.75570"
"X141851";"31.6695";"34.75890"
"X141852";"31.6695";"34.75890"
"X141853";"31.6722";"34.75900"
"X141900";"31.6709";"34.77890"
"X141920";"31.6535";"34.70520"
"X141940";"31.6447";"34.53200"
"X141942";"31.6394";"34.52150"
"X141950";"31.6462";"34.67790"
"X142000";"31.6480";"34.68210"
"X142051";"31.6464";"34.73370"
"X142070";"31.6465";"34.59590"
"X142160";"31.6301";"34.71480"
"X142200";"31.6263";"34.66640"
"X142202";"31.6254";"34.67480"
"X142203";"31.6254";"34.67480"
"X142249";"31.6296";"34.75030"
"X142250";"31.6297";"34.75030"
"X142300";"31.6286";"34.79390"
"X142302";"31.6303";"34.79130"
"X142303";"31.6303";"34.79130"
"X142348";"31.6226";"34.57610"
"X142349";"31.6221";"34.57770"
"X142350";"31.6232";"34.58310"
"X142400";"31.6237";"34.69480"
"X142420";"31.6171";"34.61480"
"X142421";"31.6171";"34.61480"
"X142450";"31.6175";"34.72650"
"X142500";"31.6248";"34.74860"
"X142550";"31.6204";"34.77070"
"X142600";"31.6077";"34.52430"
"X142650";"31.6094";"34.71390"
"X142700";"31.6132";"34.76760"
"X142749";"31.6115";"34.80240"
"X142750";"31.6085";"34.80080"
"X142780";"31.6061";"34.79030"
"X142800";"31.6044";"34.54250"
"X142801";"31.6044";"34.54250"
"X142802";"31.6044";"34.54250"
"X142898";"31.5891";"34.61290"
"X142899";"31.5918";"34.61180"
"X142900";"31.5900";"34.60970"
"X142920";"31.6072";"34.70040"
"X142950";"31.5942";"34.76450"
"X143000";"31.5879";"34.55650"
"X143019";"31.5785";"34.65720"
"X143020";"31.5785";"34.65720"
"X143050";"31.5744";"34.76150"
"X143052";"31.5789";"34.76270"
"X143150";"31.5614";"34.56670"
"X143160";"31.5563";"34.56820"
"X143200";"31.5552";"34.64960"
"X143220";"31.5574";"34.60200"
"X143221";"31.5605";"34.61020"
"X143250";"31.5636";"34.76680"
"X143350";"31.5332";"34.61110"
"X143450";"31.5213";"34.57910"
"X143451";"31.5213";"34.57960"
"X143452";"31.5215";"34.58090"
"X143453";"31.5177";"34.57670"
"X143480";"31.5170";"34.61440"
"X143500";"31.5151";"34.44170"
"X143550";"31.5126";"34.47700"
"X143570";"31.5160";"34.59540"
"X143600";"31.5044";"34.46390"
"X143650";"31.5043";"34.46350"
"X143700";"31.5018";"34.56340"
"X143702";"31.5016";"34.56340"
"X143750";"31.5037";"34.60100"
"X143800";"31.4841";"34.53140"
"X143850";"31.4751";"34.47360"
"X143950";"31.4726";"34.49470"
"X143951";"31.4722";"34.50050"
"X143952";"31.4719";"34.50010"
"X144000";"31.4706";"34.53360"
"X144001";"31.4702";"34.53580"
"X144025";"31.4833";"34.60070"
"X144030";"31.4782";"34.60160"
"X144050";"31.4610";"34.50030"
"X144069";"31.4539";"34.51220"
"X144070";"31.4524";"34.51380"
"X144100";"31.4496";"34.57640"
"X144101";"31.4464";"34.57540"
"X144120";"31.4327";"34.54130"
"X144150";"31.4437";"34.57170"
"X144160";"31.4320";"34.53700"
"X144180";"31.4240";"34.60550"
"X144200";"31.4082";"34.35850"
"X144249";"31.4231";"34.49450"
"X144250";"31.4234";"34.49190"
"X144300";"31.4240";"34.60550"
"X144350";"31.4103";"34.40980"
"X144400";"31.3976";"34.36270"
"X144500";"31.3854";"34.46060"
"X144505";"31.3872";"34.45960"
"X144550";"31.3836";"34.46280"
"X144570";"31.3809";"34.32190"
"X144600";"31.3748";"34.39890"
"X144602";"31.3769";"34.40180"
"X144603";"31.3748";"34.39890"
"X144604";"31.3755";"34.39610"
"X144635";"31.3538";"34.27400"
"X144636";"31.3538";"34.27410"
"X144637";"31.3572";"34.28540"
"X144650";"31.3437";"34.30250"
"X144700";"31.3354";"34.39590"
"X144701";"31.3354";"34.39590"
"X144702";"31.3363";"34.39750"
"X144710";"31.3318";"34.40400"
"X144750";"31.3112";"34.40280"
"X144800";"31.3010";"34.42530"
"X144805";"31.3018";"34.42610"
"X144850";"31.2965";"34.24390"
"X144865";"31.2479";"34.25910"
"X144872";"31.2716";"34.38940"
"X144873";"31.2716";"34.38940"
"X144900";"31.2368";"34.35900"
"X144902";"31.2383";"34.35360"
"X144950";"31.2282";"34.28350"
"X144960";"31.2000";"34.36570"
"X210010";"33.2825";"35.57850"
"X210050";"33.2800";"35.57860"
"X210060";"33.2790";"35.57920"
"X210061";"33.2763";"35.57800"
"X210062";"33.2790";"35.57920"
"X210100";"33.2479";"35.54890"
"X210102";"33.2474";"35.54840"
"X210103";"33.2474";"35.54840"
"X210148";"33.2403";"35.57370"
"X210149";"33.2403";"35.57370"
"X210150";"33.2403";"35.57490"
"X210151";"33.2428";"35.57700"
"X210160";"33.2404";"35.56960"
"X210200";"33.2336";"35.57740"
"X210250";"33.2186";"35.54500"
"X210251";"33.2163";"35.54290"
"X210300";"33.1960";"35.54490"
"X210301";"33.1960";"35.54490"
"X210350";"33.1960";"35.54490"
"X210398";"33.1257";"35.55110"
"X210399";"33.1293";"35.55330"
"X210400";"33.1293";"35.55330"
"X210430";"33.1139";"35.55590"
"X210450";"33.0996";"35.51140"
"X210451";"33.0996";"35.51140"
"X210452";"33.0990";"35.50920"
"X210453";"33.1008";"35.51350"
"X210500";"33.0873";"35.17340"
"X210501";"33.0873";"35.17340"
"X210502";"33.0897";"35.17670"
"X210530";"33.0829";"35.28420"
"X210549";"33.0800";"35.21030"
"X210550";"33.0788";"35.21030"
"X210600";"33.0807";"35.51660"
"X210601";"33.0807";"35.51660"
"X210650";"33.0778";"35.45530"
"X210679";"33.0651";"35.45220"
"X210680";"33.0646";"35.45390"
"X210700";"33.0646";"35.15850"
"X210748";"33.0653";"35.21730"
